"";"V0011";"V0300";"V0010";"V6036";"mun7";"V0601f";"ge_pia"
"256235";"2408102004015";5106029;6,3977040333053;0;2408102;"Feminino";"[0,15)"
"256261";"2408102004015";5255611;7,1629139618211;0;2408102;"Masculino";"[0,15)"
"256298";"2408102004015";5435828;10,9051091589457;0;2408102;"Feminino";"[0,15)"
"256360";"2408102004015";5667101;20,1660016836478;0;2408102;"Feminino";"[0,15)"
"256725";"2408102004016";871937;25,6825210112349;0;2408102;"Masculino";"[0,15)"
"256803";"2408102004016";1182389;22,8258593272681;0;2408102;"Masculino";"[0,15)"
"256808";"2408102004016";1213435;29,8335071626935;0;2408102;"Feminino";"[0,15)"
"256900";"2408102004016";1670223;6,3307565450285;0;2408102;"Masculino";"[0,15)"
"256948";"2408102004016";1894687;19,8614118062087;0;2408102;"Masculino";"[0,15)"
"257024";"2408102004016";2112634;12,6271240175057;0;2408102;"Feminino";"[0,15)"
"257138";"2408102004016";2578683;20,6390064937628;0;2408102;"Masculino";"[0,15)"
"257183";"2408102004016";2835370;15,3871481207168;0;2408102;"Feminino";"[0,15)"
"257207";"2408102004016";2900372;34,0676589127021;0;2408102;"Feminino";"[0,15)"
